Id,Name,Lat,Lon,Area (mi^2)_1986,Area (mi^2)_2020,Area Shrinkage (mi^2),Shrinkage,Height (ft),Length (ft)
RGI60-01.00002,,63.404,-146.668,0.32490347490347493,0.2244787644787645,0.10042471042471043,True,1414.111,3927.357
RGI60-01.00003,,63.375999999999905,-146.08,0.4361003861003861,0.5309652509652509,-0.09486486486486484,False,1880.0130000000001,6909.786
RGI60-01.00004,,63.381,-146.12,0.7630888030888031,1.232895752895753,-0.4698069498069498,False,3425.364,13698.175000000001
RGI60-01.00005,,63.551,-147.056999999999,0.06115830115830117,0.9232818532818534,-0.8621235521235523,False,2700.263,9780.661
RGI60-01.00006,,63.570999999999906,-146.244,2.7993822393822394,3.7216216216216216,-0.9222393822393822,False,7697.226000000001,34509.558000000005
RGI60-01.00007,,63.5508461,-146.22946167,0.3116988416988417,0.2355984555984556,0.07610038610038611,True,2929.933,5964.858
RGI60-01.00008,,63.54299999999991,-146.295999999999,0.058725868725868734,0.05942084942084943,-0.0006949806949806958,False,2391.849,2011.2530000000002
RGI60-01.00009,,63.65899999999991,-147.599999999999,0.5803088803088803,0.5267953667953669,0.05351351351351341,True,2506.684,7398.655000000001
RGI60-01.00010,,63.512999999999906,-147.169999999999,3.395675675675676,1.540772200772201,1.8549034749034752,True,2355.7580000000003,10932.292000000001
RGI60-01.00011,,63.348999999999904,-146.635999999999,0.36000000000000004,0.4969111969111969,-0.13691119691119685,False,1942.352,8648.716
RGI60-01.00012,,63.366,-146.651,0.2925868725868726,0.8888803088803089,-0.5962934362934362,False,2345.915,9977.521
RGI60-01.00013,Susitna Glacier,63.499328613,-146.684082031,54.129961389961004,76.00656370656371,-21.876602316602707,False,10433.58,128605.357
RGI60-01.00014,,63.356,-146.508,0.4468725868725869,0.18138996138996138,0.2654826254826255,True,1791.4260000000002,4235.771
RGI60-01.00015,,63.537999999999904,-146.326999999999,0.011467181467181469,0.18138996138996138,-0.1699227799227799,False,2808.536,3730.4970000000003
RGI60-01.00016,,63.675205231,-147.557891845999,5.0598069498069504,3.9360231660231664,1.123783783783784,True,4124.217000000001,20644.052
RGI60-01.00017,,63.459,-146.746,0.5236679536679537,1.32984555984556,-0.8061776061776064,False,3067.735,13186.339
RGI60-01.00018,,63.383,-146.633,0.2905019305019305,0.5983783783783785,-0.30787644787644797,False,2089.9970000000003,6703.0830000000005
RGI60-01.00019,,63.537999999999904,-147.526999999999,1.7850579150579153,1.1008494208494208,0.6842084942084945,True,1912.823,8829.171
RGI60-01.00020,Eureka Glacier,63.35699999999991,-146.360999999999,13.751930501930502,12.614594594594594,1.137335907335908,True,5029.773,31034.979000000003
RGI60-01.00021,Maclaren Glacier,63.404830933,-146.606262206999,21.13644787644788,20.803899613899617,0.3325482625482614,True,5387.402,60016.052
RGI60-01.00022,,63.433999999999905,-146.677999999999,13.792586872586835,15.109922779922782,-1.3173359073359467,False,5121.6410000000005,54100.409
RGI60-01.00023,,63.552999999999905,-147.003999999999,0.971930501930502,1.27980694980695,-0.30787644787644797,False,2890.561,9882.372000000001
RGI60-01.00025,,63.383995056,-146.230651854999,3.7115444015444017,4.686949806949808,-0.975405405405406,False,5351.311000000001,27622.739
RGI60-01.00027,McGinnis Glacier,63.535064697,-146.262817382999,3.4439768339768344,4.7289961389961395,-1.285019305019305,False,6273.272,40517.069
RGI60-01.00029,,63.47599999999991,-146.811,1.4605019305019307,2.492200772200772,-1.0316988416988415,False,2595.271,15053.228000000001
RGI60-01.00030,,63.64784240699991,-146.551605225,0.7484942084942086,1.2766795366795367,-0.5281853281853282,False,5751.593,14075.49
RGI60-01.00031,,63.639,-146.544,0.038571428571428576,0.5396525096525097,-0.5010810810810811,False,3842.0510000000004,6962.282
RGI60-01.00032,,63.640632629,-146.930984496999,7.006100386100387,5.894131274131275,1.1119691119691124,True,5653.1630000000005,37682.285
RGI60-01.00033,,63.68,-146.872,3.5325868725868728,1.5025482625482627,2.03003861003861,True,6729.331,24899.509000000002
RGI60-01.00034,,63.682,-146.81,0.9472586872586872,0.8471814671814673,0.10007722007721997,True,4153.746,8770.113000000001
RGI60-01.00035,,63.648,-147.442,7.362277992277993,12.286563706563706,-4.9242857142857135,False,5426.774,44293.5
RGI60-01.00036,,63.399,-146.645,1.012934362934363,1.3479150579150578,-0.3349806949806948,False,3162.884,12162.667000000001
RGI60-01.00037,Black Rapids Glacier,63.469173431,-146.528167725,61.28895752895754,84.36057915057916,-23.071621621621617,False,7739.879,137509.991
RGI60-01.00038,Trident Glacier,63.603,-146.468999999999,35.21640926640924,51.40598455598456,-16.189575289575323,False,9862.686,97120.88100000001
RGI60-01.00039,,63.395,-146.062,2.4862934362934364,3.0582625482625483,-0.5719691119691119,False,4071.721,20243.77
RGI60-01.00040,Nenana Glacier,63.539,-147.628999999999,43.25664092664093,10.531389961389962,32.725250965250964,True,5505.518,50711.136
RGI60-01.00041,Gillam Glacier,63.656999999999904,-147.106999999999,57.50826254826256,30.425559845559846,27.08270270270271,True,9140.866,85824.398
RGI60-01.00042,Yanert Glacier,63.594097136999906,-147.579269409,24.8580694980695,28.561621621621622,-3.7035521235521216,False,9528.024000000001,114825.157
RGI60-01.00043,,63.640999999999906,-146.519,0.06463320463320463,0.14316602316602317,-0.07853281853281854,False,1112.259,1397.7060000000001
RGI60-01.00044,Hayes Glacier,63.710952759,-146.692153931,28.892084942084946,21.626061776061775,7.266023166023171,True,10256.406,65429.702000000005
RGI60-01.00045,,63.551,-147.466,8.085752895752897,12.67054054054054,-4.584787644787642,False,5512.08,44234.442
