Date,Monthly Total Precipitation (in),Monthly Average Mean Temperature (degF),Monthly Total Snowfall (in),City,ID
1949-06,3.56,48.87,,Delta Junction,USW00026415
1949-07,5.71,57.27,0,Delta Junction,USW00026415
1949-08,1.66,55.73,0,Delta Junction,USW00026415
1949-09,0.46,49.12,,Delta Junction,USW00026415
1949-10,0.75,25.61,8.8,Delta Junction,USW00026415
1949-11,0.08,16.15,1.3,Delta Junction,USW00026415
1949-12,0.39,-9.27,4.9,Delta Junction,USW00026415
1950-01,1.13,-0.66,20.9,Delta Junction,USW00026415
1950-02,0.06,-19.02,0.7,Delta Junction,USW00026415
1950-03,0.69,18.52,12.8,Delta Junction,USW00026415
1950-04,0.07,27.72,1.8,Delta Junction,USW00026415
1950-05,0.71,46.26,1.1,Delta Junction,USW00026415
1950-06,0.61,59.17,0,Delta Junction,USW00026415
1950-07,3.37,60,0,Delta Junction,USW00026415
1950-08,2.27,57.42,0,Delta Junction,USW00026415
1950-09,0.43,47.33,,Delta Junction,USW00026415
1950-10,0.69,24.42,9.9,Delta Junction,USW00026415
1950-11,0.53,-3.72,7.4,Delta Junction,USW00026415
1950-12,0.26,-0.56,4,Delta Junction,USW00026415
1951-01,0.13,-13.62,1.8,Delta Junction,USW00026415
1951-02,0.13,-2.71,1.5,Delta Junction,USW00026415
1951-03,0.27,1.6,4.3,Delta Junction,USW00026415
1951-04,0.23,35.25,1.8,Delta Junction,USW00026415
1951-05,0.42,48.74,,Delta Junction,USW00026415
1951-06,1.31,55.67,0,Delta Junction,USW00026415
1951-07,0.88,60.05,0,Delta Junction,USW00026415
1951-08,1.4,58.55,0,Delta Junction,USW00026415
1951-09,1.33,46.92,1.1,Delta Junction,USW00026415
1951-10,0.83,19.71,10.6,Delta Junction,USW00026415
1951-11,0.42,12.05,7.2,Delta Junction,USW00026415
1951-12,0.37,-5.97,4.2,Delta Junction,USW00026415
1952-01,0.41,-13.72,7.4,Delta Junction,USW00026415
1952-02,0.06,3.21,0.7,Delta Junction,USW00026415
1952-03,0.33,10.69,7.2,Delta Junction,USW00026415
1952-04,0.01,29.42,0.2,Delta Junction,USW00026415
1952-05,0.64,40.02,1.3,Delta Junction,USW00026415
1952-06,3.27,55.93,,Delta Junction,USW00026415
1952-07,3.12,58.94,0,Delta Junction,USW00026415
1952-08,1.7,53.23,0,Delta Junction,USW00026415
1952-09,3.01,41.42,2.3,Delta Junction,USW00026415
1952-10,0.95,32,8.8,Delta Junction,USW00026415
1952-11,0.09,22.9,0.8,Delta Junction,USW00026415
1952-12,0.14,6.56,1.6,Delta Junction,USW00026415
1953-01,0.04,-13.65,0.4,Delta Junction,USW00026415
1953-02,0.3,9.21,4.6,Delta Junction,USW00026415
1953-03,0.16,12.61,2.5,Delta Junction,USW00026415
1953-04,0.04,37.52,,Delta Junction,USW00026415
1953-05,1.81,49.21,,Delta Junction,USW00026415
1953-06,2.67,59.92,0,Delta Junction,USW00026415
1953-07,2.05,61.87,0,Delta Junction,USW00026415
1953-08,1.77,55.87,0,Delta Junction,USW00026415
1953-09,0.63,44.83,1.2,Delta Junction,USW00026415
1953-10,0.31,24.44,3.7,Delta Junction,USW00026415
1953-11,0.03,7.57,0.3,Delta Junction,USW00026415
1953-12,0.18,2.84,3,Delta Junction,USW00026415
1954-01,0.48,-7.58,12.4,Delta Junction,USW00026415
1954-02,0.05,-11.2,1.9,Delta Junction,USW00026415
1954-03,0.2,15.53,5.7,Delta Junction,USW00026415
1954-04,0.13,25.28,3.1,Delta Junction,USW00026415
1954-05,1.15,48.77,0,Delta Junction,USW00026415
1954-06,3.37,57.17,0,Delta Junction,USW00026415
1954-07,2.06,58.19,0,Delta Junction,USW00026415
1954-08,1.49,56.08,0,Delta Junction,USW00026415
1954-09,2.06,42.68,0.5,Delta Junction,USW00026415
1954-10,0.38,32.68,5.4,Delta Junction,USW00026415
1954-11,0.19,17.75,2.5,Delta Junction,USW00026415
1954-12,0.31,-16.03,4.7,Delta Junction,USW00026415
1955-01,0.2,6.23,2,Delta Junction,USW00026415
1955-02,0.68,-5.52,10.1,Delta Junction,USW00026415
1955-03,0.2,13.16,4.5,Delta Junction,USW00026415
1955-04,0.34,24.25,4.3,Delta Junction,USW00026415
1955-05,2.82,44.76,,Delta Junction,USW00026415
1955-06,2.69,54.12,0,Delta Junction,USW00026415
1955-07,2.13,60.89,0,Delta Junction,USW00026415
1955-08,3.32,52.03,0,Delta Junction,USW00026415
1955-09,1.06,43.57,2,Delta Junction,USW00026415
1955-10,0.42,23.18,4.4,Delta Junction,USW00026415
1955-11,0.5,-5.05,7.3,Delta Junction,USW00026415
1955-12,1.67,-8.9,29,Delta Junction,USW00026415
1956-01,0.37,-16.26,3.7,Delta Junction,USW00026415
1956-02,0.58,-7.21,6.3,Delta Junction,USW00026415
1956-03,0.07,8.31,0.7,Delta Junction,USW00026415
1956-04,0.05,31.2,0.5,Delta Junction,USW00026415
1956-05,0.3,47.39,,Delta Junction,USW00026415
1956-06,3.5,55.13,0,Delta Junction,USW00026415
1956-07,3.02,61,0,Delta Junction,USW00026415
1956-08,2.86,55.45,0,Delta Junction,USW00026415
1956-09,0.63,41.73,2.1,Delta Junction,USW00026415
1956-10,0.72,16.87,8.4,Delta Junction,USW00026415
1956-11,1.07,-0.58,11,Delta Junction,USW00026415
1956-12,0.28,-16.34,4.3,Delta Junction,USW00026415
1957-01,1.35,5.87,16,Delta Junction,USW00026415
1957-02,1.33,1.27,13.6,Delta Junction,USW00026415
1957-03,0.46,19.47,5,Delta Junction,USW00026415
1957-04,0.11,31.52,1.1,Delta Junction,USW00026415
1957-05,0.03,46.81,,Delta Junction,USW00026415
1957-06,1.05,62.17,0,Delta Junction,USW00026415
1957-07,1.92,59.44,0,Delta Junction,USW00026415
1957-08,1.65,59.92,0,Delta Junction,USW00026415
1957-09,0.72,44.33,4.5,Delta Junction,USW00026415
1957-10,0.63,29.34,11.4,Delta Junction,USW00026415
1957-11,0.09,20.45,1,Delta Junction,USW00026415
1957-12,0.56,-10.9,7.1,Delta Junction,USW00026415
1958-01,0.35,5.31,4.5,Delta Junction,USW00026415
1958-02,0.06,5.8,0.6,Delta Junction,USW00026415
1958-03,0.36,16.81,3.6,Delta Junction,USW00026415
1958-04,0.01,37.25,0.1,Delta Junction,USW00026415
1958-05,0.08,48.26,,Delta Junction,USW00026415
1958-06,0.79,62.35,0,Delta Junction,USW00026415
1958-07,1.07,62.69,0,Delta Junction,USW00026415
1958-08,0.96,56.79,0,Delta Junction,USW00026415
1958-09,0.75,42.35,1.1,Delta Junction,USW00026415
1958-10,0.9,14.47,11.8,Delta Junction,USW00026415
1958-11,0.44,5.73,4.6,Delta Junction,USW00026415
1958-12,0.25,0.06,2.9,Delta Junction,USW00026415
